category,index
hermeuptychia sosybius,7008,
lygaeus turcicus,7009,
graphocephala versuta,7010,
feniseca tarquinius,7011,
ardea alba,7012,
cicada orni,7013,
limenitis reducta,7014,
penelope obscura,7015,
coereba flaveola,7016,
falcipennis canadensis,7017,
tridacna maxima,7018,
luscinia svecica,7019,
coloradia pandora,7020,
enallagma ebrium,7021,
enallagma aspersum,7022,
merops bullockoides,7023,
euplectes orix,7024,
harrisina americana,7025,
perithemis tenera,7026,
neoscona oaxacensis,7027,
sphex ichneumoneus,7028,
plotosus lineatus,7029,
heterocampa biundata,7030,
spilosoma virginica,7031,
smerinthus jamaicensis,7032,
timandra amaturaria,7033,
eustixia pupula,7034,
epiblema otiosana,7035,
catocala amatrix,7036,
magusa divaricata,7037,
lineodes integra,7038,
doriprismatica atromarginata,7039,
hemileuca eglanterina,7040,
cicindela aurulenta,7041,
heterophleps triguttaria,7042,
macaria aemulataria,7043,
phragmatobia fuliginosa,7044,
parapediasia teterrellus,7045,
anthocharis midea,7046,
abaeis nicippe,7047,
cyllopsis gemma,7048,
masticophis taeniatus,7049,
anavitrinella pampinaria,7050,
nicrophorus orbicollis,7051,
paraulacizes irrorata,7052,
schinia rivulosa,7053,
ardenna creatopus,7054,
aphelocoma californica,7055,
trimerotropis verruculata,7056,
caenurgina crassiuscula,7057,
epiblema strenuana,7058,
pandemis limitata,7059,
tachyglossus aculeatus,7060,
halictus ligatus,7061,
pyrrhocorax graculus,7062,
schinia florida,7063,
dichromorpha viridis,7064,
sphinx chersis,7065,
micrathena sagittata,7066,
eusarca confusaria,7067,
lepus townsendii,7068,
lomographa vestaliata,7069,
calledapteryx dryopterata,7070,
acronicta fallax,7071,
amphipyra pyramidoides,7072,
besma quercivoraria,7073,
crambidia pallida,7074,
panopoda carneicosta,7075,
baileya ophthalmica,7076,
spragueia leo,7077,
homophoberia apicosa,7078,
lithobates berlandieri,7079,
oncorhynchus mykiss,7080,
nymphalis l-album,7081,
hapithus agitator,7082,
phrynosoma hernandesi,7083,
selasphorus rufus,7084,
callopistria floridensis,7085,
striacosta albicosta,7086,
hypena deceptalis,7087,
acrolophus popeanella,7088,
colius striatus,7089,
vireo plumbeus,7090,
catocala piatrix,7091,
mythimna oxygala,7092,
eucosma parmatana,7093,
hypena madefactalis,7094,
orthodes majuscula,7095,
ogdoconta cinereola,7096,
coelostathma discopunctana,7097,
jikradia olitoria,7098,
baeolophus wollweberi,7099,
porphyrio melanotus,7100,
oncorhynchus clarkii,7101,
taeniura lymma,7102,
lepidodactylus lugubris,7103,
delphinia picta,7104,
bombus rufocinctus,7105,
arothron hispidus,7106,
celithemis martha,7107,
neotamias merriami,7108,
theba pisana,7109,
ocreatus underwoodii,7110,
hemileuca maia,7111,
probole amicaria,7112,
elophila icciusalis,7113,
guinusia chabrus,7114,
ostracion meleagris,7115,
duttaphrynus melanostictus,7116,
speyeria idalia,7117,
satyrium liparops,7118,
hemaris thysbe,7119,
pluvialis fulva,7120,
papilio xuthus,7121,
misumenoides formosipes,7122,
atteva aurea,7123,
parus minor,7124,
zosterops simplex,7125,
chrysochus auratus,7126,
chauliognathus pensylvanicus,7127,
acrocephalus dumetorum,7128,
lepomis auritus,7129,
imantodes cenchoa,7130,
cucullia asteroides,7131,
aeshna tuberculifera,7132,
conocephalus brevipennis,7133,
microcrambus elegans,7134,
basiliscus basiliscus,7135,
toxomerus politus,7136,
trichordestra legitima,7137,
chilades lajus,7138,
charaxes bernardus,7139,
zizeeria karsandra,7140,
ypthima baldus,7141,
laothoe populi,7142,
aeshna juncea,7143,
cupido comyntas,7144,
dolomedes tenebrosus,7145,
agama atra,7146,
elaphria grata,7147,
stilpnia cyanicollis,7148,
lascoria ambigualis,7149,
gehyra mutilata,7150,
corvus brachyrhynchos,7151,
ambystoma mavortium,7152,
triturus cristatus,7153,
chilomycterus schoepfii,7154,
clepsis peritana,7155,
colladonus clitellarius,7156,
ranoidea moorei,7157,
phyllopteryx taeniolatus,7158,
hentzia palmarum,7159,
macaria bisignata,7160,
cyrestis thyodamas,7161,
christinus marmoratus,7162,
elophila gyralis,7163,
metcalfa pruinosa,7164,
promachus rufipes,7165,
agriphila vulgivagellus,7166,
camponotus novaeboracensis,7167,
chrysopa oculata,7168,
scoparia biplagialis,7169,
ponometia candefacta,7170,
ancyloxypha numitor,7171,
pyrausta tyralis,7172,
setophaga nigrescens,7173,
passerina amoena,7174,
melanoplus differentialis,7175,
aquila audax,7176,
anhinga rufa,7177,
cinnyris afer,7178,
ceryle rudis,7179,
trichonephila fenestrata,7180,
buphagus erythrorynchus,7181,
dicrurus adsimilis,7182,
bostrychia hagedash,7183,
oecanthus niveus,7184,
stagmomantis carolina,7185,
rivula propinqualis,7186,
phlogophora periculosa,7187,
neotamias amoenus,7188,
polygonia faunus,7189,
crotalus molossus,7190,
aspidoscelis sonorae,7191,
orthetrum sabina,7192,
polites peckius,7193,
ceratomia undulosa,7194,
sceloporus jarrovii,7195,
nedra ramosula,7196,
calidris subruficollis,7197,
sceloporus poinsettii,7198,
rabidosa rabida,7199,
myiozetetes cayanensis,7200,
lycaena gorgon,7201,
catocala ilia,7202,
attulus fasciger,7203,
gopherus morafkai,7204,
apantesis phalerata,7205,
aphelocoma coerulescens,7206,
dryocopus pileatus,7207,
lampides boeticus,7208,
neptis hylas,7209,
junonia lemonias,7210,
catocala vidua,7211,
phyllidia ocellata,7212,
morus serrator,7213,
malurus splendens,7214,
sericornis frontalis,7215,
sympetrum illotum,7216,
satyrium titus,7217,
sympetrum striolatum,7218,
pelegrina galathea,7219,
cicindela longilabris,7220,
libellula vibrans,7221,
megascops kennicottii,7222,
tringa glareola,7223,
lanius collaris,7224,
herpyllus ecclesiasticus,7225,
evergestis pallidata,7226,
herpetotheres cachinnans,7227,
ischnura senegalensis,7228,
bagrada hilaris,7229,
feltia jaculifera,7230,
scinax ruber,7231,
argia moesta,7232,
ischnura kellicotti,7233,
neoclytus acuminatus,7234,
larus fuscus,7235,
euptoieta claudia,7236,
argiope lobata,7237,
atta texana,7238,
holocnemus pluchei,7239,
epicauta pennsylvanica,7240,
pelecanus philippensis,7241,
argia translata,7242,
phalacrocorax penicillatus,7243,
chroicocephalus philadelphia,7244,
chaetura vauxi,7245,
sauromalus ater,7246,
sceloporus orcutti,7247,
pseudemys peninsularis,7248,
archilestes californicus,7249,
podarcis muralis,7250,
melozone crissalis,7251,
holcosus festivus,7252,
rhinocheilus lecontei,7253,
haematopus longirostris,7254,
dicathais orbita,7255,
haematopus fuliginosus,7256,
catherpes mexicanus,7257,
polypedates leucomystax,7258,
aeshna verticalis,7259,
eulogia ochrifrontella,7260,
hierodula patellifera,7261,
scudderia mexicana,7262,
diprion similis,7263,
pantherophis emoryi,7264,
baeolophus ridgwayi,7265,
lycomorpha pholus,7266,
tramea lacerata,7267,
leptodactylus savagei,7268,
chrysochus cobaltinus,7269,
euodice malabarica,7270,
centronyx henslowii,7271,
orthetrum pruinosum,7272,
trithemis festiva,7273,
metridium senile,7274,
graphocephala atropunctata,7275,
sceloporus uniformis,7276,
macaca fascicularis,7277,
amaurornis phoenicurus,7278,
cinnyris jugularis,7279,
neoscona domiciliorum,7280,
empidonax difficilis,7281,
tolype velleda,7282,
microcentrum retinerve,7283,
larinioides cornutus,7284,
cucullia convexipennis,7285,
parrhasius m-album,7286,
limenitis weidemeyerii,7287,
eleodes obscura,7288,
polistes apachus,7289,
bothriechis schlegelii,7290,
labidomera clivicollis,7291,
penelope purpurascens,7292,
andricus kingi,7293,
lonchura striata,7294,
gopherus berlandieri,7295,
acronicta impleta,7296,
sceloporus olivaceus,7297,
zenaida macroura,7298,
holbrookia propinqua,7299,
hypercompe scribonia,7300,
callospermophilus saturatus,7301,
thamnophis cyrtopsis,7302,
chamaeleo dilepis,7303,
stigmochelys pardalis,7304,
hyperolius marmoratus,7305,
acanthocercus atricollis,7306,
glyptemys insculpta,7307,
oxybelis aeneus,7308,
linepithema humile,7309,
cereopsis novaehollandiae,7310,
epiphyas postvittana,7311,
glycaspis brimblecombei,7312,
anser indicus,7313,
papilio garamas,7314,
leiothlypis ruficapilla,7315,
toxostoma curvirostre,7316,
hemiargus ceraunus,7317,
bombus huntii,7318,
bombus californicus,7319,
zelus renardii,7320,
thamnophis radix,7321,
lacinipolia renigera,7322,
latrodectus hesperus,7323,
varanus salvator,7324,
ameiva ameiva,7325,
leptophis ahaetulla,7326,
hamadryas feronia,7327,
ptiliogonys cinereus,7328,
urobatis halleri,7329,
chelinidea vittiger,7330,
sphaenothecus bilineatus,7331,
amazilia beryllina,7332,
empidonax occidentalis,7333,
aphelocoma woodhouseii,7334,
egretta rufescens,7335,
mantis religiosa,7336,
glena quinquelinearia,7337,
hylocharis leucotis,7338,
setophaga occidentalis,7339,
catasticta nimbice,7340,
sciurus aureogaster,7341,
geothlypis tolmiei,7342,
falco cenchroides,7343,
gryllodes sigillatus,7344,
crotalus ornatus,7345,
agnorisma badinodis,7346,
thryomanes bewickii,7347,
leptocoma zeylonica,7348,
crotaphopeltis hotamboeia,7349,
zizina otis,7350,
anisomorpha buprestoides,7351,
pentatoma rufipes,7352,
sunira bicolorago,7353,
neotibicen superbus,7354,
ixias pyrene,7355,
pipilo maculatus,7356,
argiope argentata,7357,
pacifastacus leniusculus,7358,
setophaga striata,7359,
vanellus miles,7360,
phyciodes mylitta,7361,
asterocampa leilia,7362,
orchelimum nigripes,7363,
idia aemula,7364,
orthemis ferruginea,7365,
hippotion scrofa,7366,
menura novaehollandiae,7367,
acanthiza pusilla,7368,
pica serica,7369,
anaxyrus cognatus,7370,
hagenius brevistylus,7371,
sceloporus tristichus,7372,
myadestes townsendi,7373,
anaxyrus speciosus,7374,
papilio paris,7375,
papilio polytes,7376,
pycnonotus sinensis,7377,
pycnonotus jocosus,7378,
taeniopoda eques,7379,
elymnias hypermnestra,7380,
graphium sarpedon,7381,
pseudozizeeria maha,7382,
phaedyma columella,7383,
phrynosoma mcallii,7384,
anaxyrus woodhousii,7385,
myliobatis californica,7386,
lithobates blairi,7387,
spea multiplicata,7388,
eleutherodactylus cystignathoides,7389,
ambystoma opacum,7390,
desmognathus conanti,7391,
plethodon albagula,7392,
graptemys pseudogeographica,7393,
kinosternon flavescens,7394,
sternotherus carinatus,7395,
nerodia taxispilota,7396,
ischnura denticollis,7397,
urbanus dorantes,7398,
laniarius ferrugineus,7399,
ptyonoprogne rupestris,7400,
buteo regalis,7401,
dicromantispa sayi,7402,
aspidoscelis exsanguis,7403,
gerrhonotus infernalis,7404,
holbrookia maculata,7405,
ophisaurus attenuatus,7406,
phrynosoma modestum,7407,
urocyon littoralis,7408,
harmonia conformis,7409,
sypharochiton pelliserpentis,7410,
petroica boodang,7411,
leptograpsus variegatus,7412,
wallengrenia otho,7413,
setophaga citrina,7414,
sceloporus grammicus,7415,
sceloporus cyanogenys,7416,
agkistrodon laticinctus,7417,
lepisosteus oculatus,7418,
farancia abacura,7419,
myiarchus crinitus,7420,
heterodon nasicus,7421,
hypsiglena jani,7422,
lampropeltis gentilis,7423,
regina grahamii,7424,
sistrurus tergeminus,7425,
tantilla gracilis,7426,
thamnophis marcianus,7427,
virginia valeriae,7428,
buteo albonotatus,7429,
icterus graduacauda,7430,
trogon elegans,7431,
junco phaeonotus,7432,
setophaga graciae,7433,
empidonax fulvifrons,7434,
lampornis clemenciae,7435,
calothorax lucifer,7436,
gallinago delicata,7437,
menemerus semilimbatus,7438,
zelus longipes,7439,
toxostoma rufum,7440,
apis florea,7441,
apis dorsata,7442,
tachybaptus novaehollandiae,7443,
acrocephalus australis,7444,
xylocopa tabaniformis,7445,
chrysolina bankii,7446,
cigaritis lohita,7447,
vespula alascensis,7448,
salvadora grahamiae,7449,
chondrohierax uncinatus,7450,
ictinia mississippiensis,7451,
thalasseus elegans,7452,
larus glaucoides,7453,
urocitellus richardsonii,7454,
libellula saturata,7455,
libellula forensis,7456,
spoladea recurvalis,7457,
sylvilagus nuttallii,7458,
sphyrapicus ruber,7459,
acanthosoma haemorrhoidale,7460,
sparisoma viride,7461,
graphium agamemnon,7462,
paratrechina longicornis,7463,
alisterus scapularis,7464,
regulus satrapa,7465,
geranospiza caerulescens,7466,
pantherophis alleghaniensis,7467,
dryobates borealis,7468,
melanitta deglandi,7469,
asio flammeus,7470,
gavia pacifica,7471,
ceriagrion coromandelianum,7472,
phalaropus lobatus,7473,
brachyramphus marmoratus,7474,
aeshna interrupta,7475,
dactylotum bicolor,7476,
aphonopelma chalcodes,7477,
oncometopia orbona,7478,
peridroma saucia,7479,
megapallifera mutabilis,7480,
neurothemis fulvia,7481,
hymenia perspectalis,7482,
aulostomus chinensis,7483,
ara macao,7484,
prinia inornata,7485,
motacilla tschutschensis,7486,
limosa lapponica,7487,
empidonax alnorum,7488,
carcinus maenas,7489,
vidua macroura,7490,
furnarius leucopus,7491,
zizeeria knysna,7492,
lycaena helloides,7493,
polistes dorsalis,7494,
fluvicola nengeta,7495,
melanerpes pucherani,7496,
nerodia rhombifer,7497,
thalasseus bergii,7498,
sula sula,7499,
prosotas dubiosa,7500,
nephila pilipes,7501,
zalophus wollebaeki,7502,
crotophaga ani,7503,
sula nebouxii,7504,
pteroglossus torquatus,7505,
thalurania colombica,7506,
chlosyne harrisii,7507,
phalaropus tricolor,7508,
megascops asio,7509,
leiothlypis peregrina,7510,
empidonax flaviventris,7511,
calidris himantopus,7512,
urothemis signata,7513,
marmota marmota,7514,
larus glaucescens,7515,
vireo flavifrons,7516,
myiodynastes luteiventris,7517,
leiothlypis luciae,7518,
aphelocoma wollweberi,7519,
myioborus pictus,7520,
melozone fusca,7521,
callipepla squamata,7522,
desmognathus ochrophaeus,7523,
psaltriparus minimus,7524,
dysschema howardi,7525,
trichodes ornatus,7526,
selasphorus platycercus,7527,
trigona fulviventris,7528,
panorpa nuptialis,7529,
dythemis nigrescens,7530,
sula dactylatra,7531,
sceloporus consobrinus,7532,
scincella lateralis,7533,
belenois aurota,7534,
chlorophanes spiza,7535,
dryocopus lineatus,7536,
thalassarche melanophris,7537,
spheniscus magellanicus,7538,
abudefduf troschelii,7539,
progomphus obscurus,7540,
phyllogomphoides albrighti,7541,
leucophaeus pipixcan,7542,
sitta pygmaea,7543,
passerina versicolor,7544,
acanthis flammea,7545,
archilochus alexandri,7546,
myiarchus tuberculifer,7547,
piranga bidentata,7548,
bombus sonorus,7549,
eurema mexicana,7550,
larus hyperboreus,7551,
baeolophus inornatus,7552,
abudefduf sexfasciatus,7553,
bronchocela jubata,7554,
monadenia infumata,7555,
coccothraustes vespertinus,7556,
hyla squirella,7557,
erythemis plebeja,7558,
lestes vigilax,7559,
aphylla angustifolia,7560,
erpetogomphus designatus,7561,
enallagma praevarum,7562,
phoebis sennae,7563,
hemidactylus frenatus,7564,
hydrophasianus chirurgus,7565,
lestes alacer,7566,
lerema accius,7567,
peucaea cassinii,7568,
leptotes marina,7569,
icterus pustulatus,7570,
agapornis roseicollis,7571,
pseudoleon superbus,7572,
gomphaeschna furcillata,7573,
tachopteryx thoreyi,7574,
ictidomys tridecemlineatus,7575,
polistes major,7576,
xerospermophilus tereticaudus,7577,
calamospiza melanocorys,7578,
moduza procris,7579,
junonia atlites,7580,
orsotriaena medus,7581,
microcentrum rhombifolium,7582,
enallagma basidens,7583,
incilius alvarius,7584,
megisto rubricata,7585,
orthemis discolor,7586,
columbina inca,7587,
eantis tamenund,7588,
callosamia promethea,7589,
tetracha carolina,7590,
myathropa florea,7591,
charadrius wilsonia,7592,
thorybes bathyllus,7593,
libellula auripennis,7594,
plestiodon inexpectatus,7595,
aratus pisonii,7596,
leiocephalus carinatus,7597,
baeolophus atricristatus,7598,
erythemis vesiculosa,7599,
halichoeres bivittatus,7600,
dromogomphus spoliatus,7601,
sialia sialis,7602,
sialia currucoides,7603,
enallagma hageni,7604,
platalea regia,7605,
himantopus leucocephalus,7606,
euglandina rosea,7607,
protonotaria citrea,7608,
dendronotus venustus,7609,
crassadoma gigantea,7610,
pseudacris maculata,7611,
stylurus plagiatus,7612,
hetaerina titia,7613,
recurvirostra americana,7614,
anartia amathea,7615,
amazilia violiceps,7616,
eugenes fulgens,7617,
anas diazi,7618,
egretta novaehollandiae,7619,
hirundo neoxena,7620,
ctenosaura similis,7621,
rhipidura leucophrys,7622,
plestiodon obsoletus,7623,
rasahus hamatus,7624,
carpodacus sibiricus,7625,
iambrix salsala,7626,
hirundo smithii,7627,
microcarbo africanus,7628,
ardeola ralloides,7629,
anser caerulescens,7630,
eurycea lucifuga,7631,
desmognathus monticola,7632,
glossopsitta concinna,7633,
lumbricus terrestris,7634,
ascia monuste,7635,
argia fumipennis,7636,
sternotherus odoratus,7637,
parnassius smintheus,7638,
lestes eurinus,7639,
leucorrhinia proxima,7640,
acisoma panorpoides,7641,
aeshna canadensis,7642,
somatochlora tenebrosa,7643,
gomphurus vastus,7644,
libellula flavida,7645,
agriocnemis pygmaea,7646,
tholymis tillarga,7647,
neurothemis tullia,7648,
hydrocoloeus minutus,7649,
varanus bengalensis,7650,
larus crassirostris,7651,
larus livens,7652,
melanoplus femurrubrum,7653,
phaetusa simplex,7654,
psittacara holochlorus,7655,
cyanoramphus novaezelandiae,7656,
ciccaba virgata,7657,
rana aurora,7658,
colibri cyanotus,7659,
anthracothorax prevostii,7660,
amazilia yucatanensis,7661,
heliodoxa jacula,7662,
selasphorus calliope,7663,
tockus leucomelas,7664,
mitrephanes phaeocercus,7665,
empidonax virescens,7666,
empidonax wrightii,7667,
myiarchus tyrannulus,7668,
tyrannus couchii,7669,
tyrannus crassirostris,7670,
tityra semifasciata,7671,
todirostrum cinereum,7672,
agelaius tricolor,7673,
tachycineta albiventer,7674,
petrochelidon fulva,7675,
toxostoma longirostre,7676,
lamprotornis nitens,7677,
artemisiospiza belli,7678,
falco femoralis,7679,
fundulus notatus,7680,
setophaga pitiayumi,7681,
liometopum occidentale,7682,
setophaga chrysoparia,7683,
gavia stellata,7684,
myioborus miniatus,7685,
chlorospingus flavopectus,7686,
apantesis parthenice,7687,
plestiodon fasciatus,7688,
aegolius acadicus,7689,
artemisiospiza nevadensis,7690,
leucorrhinia glacialis,7691,
leucorrhinia intacta,7692,
stylogomphus albistylus,7693,
cotinis mutabilis,7694,
ammospiza leconteii,7695,
tramea carolina,7696,
phyciodes phaon,7697,
lampropeltis holbrooki,7698,
pelecanus thagus,7699,
emberiza cia,7700,
circus approximans,7701,
plethodon serratus,7702,
spea hammondii,7703,
rhinella diptycha,7704,
mesembrinibis cayennensis,7705,
platalea alba,7706,
amazona autumnalis,7707,
sphecotheres vieilloti,7708,
plectropterus gambensis,7709,
anas superciliosa,7710,
lophonetta specularioides,7711,
anas bahamensis,7712,
cycnia collaris,7713,
erythrodiplax berenice,7714,
halysidota tessellaris,7715,
melierax canorus,7716,
buteogallus meridionalis,7717,
lagopus lagopus,7718,
hierophis viridiflavus,7719,
polistes fuscatus,7720,
spatula clypeata,7721,
bradypus variegatus,7722,
kori bustard,7723,
burhinus bistriatus,7724,
burhinus vermiculatus,7725,
charadrius collaris,7726,
austracantha minax,7727,
charadrius bicinctus,7728,
aeshna eremita,7729,
coenobita compressus,7730,
xenus cinereus,7731,
acanthodoris rhodoceras,7732,
aeolidia loui,7733,
calidris acuminata,7734,
ploceus cucullatus,7735,
nerodia fasciata,7736,
vermivora cyanoptera,7737,
platalea ajaja,7738,
brachymesia gravida,7739,
malacorhynchus membranaceus,7740,
anhinga novaehollandiae,7741,
lichmera indistincta,7742,
icterus wagleri,7743,
ammodramus savannarum,7744,
petroica macrocephala,7745,
phalacrocorax punctatus,7746,
evechinus chloroticus,7747,
cicindela repanda,7748,
geranoaetus albicaudatus,7749,
nyctidromus albicollis,7750,
leptotila verreauxi,7751,
arremonops rufivirgatus,7752,
adelpha fessonia,7753,
contopus pertinax,7754,
calonectris diomedea,7755,
bembix americana,7756,
cyanocitta stelleri,7757,
latrodectus hasselti,7758,
boissonneaua flavescens,7759,
fulica armillata,7760,
pheucticus chrysopeplus,7761,
acanthurus nigrofuscus,7762,
parkesia noveboracensis,7763,
mocis latipes,7764,
melozone aberti,7765,
cyanistes caeruleus,7766,
calocitta colliei,7767,
trogon citreolus,7768,
mareca americana,7769,
cassiculus melanicterus,7770,
littorina littorea,7771,
calocitta formosa,7772,
eupsittula canicularis,7773,
jacana spinosa,7774,
amazilia rutila,7775,
peucaea carpalis,7776,
melanerpes chrysogenys,7777,
actophilornis africanus,7778,
terpsiphone viridis,7779,
campephilus guatemalensis,7780,
chroicocephalus serranus,7781,
anolis nebulosus,7782,
phalacrocorax brasilianus,7783,
circaetus cinereus,7784,
sarkidiornis melanotos,7785,
urbanus proteus,7786,
orgyia definita,7787,
euphonia affinis,7788,
sporophila torqueola,7789,
turdus rufopalliatus,7790,
calidris alpina,7791,
corythornis cristatus,7792,
chordeiles acutipennis,7793,
lepisosteus platyrhincus,7794,
pachyramphus aglaiae,7795,
ortalis cinereiceps,7796,
ploceus velatus,7797,
burhinus capensis,7798,
cyanocompsa parellina,7799,
colobura dirce,7800,
patagioenas cayennensis,7801,
pieris canidia,7802,
abisara echerius,7803,
icterus bullockii,7804,
porphyrio poliocephalus,7805,
habia fuscicauda,7806,
eupsittula pertinax,7807,
osmoderma scabra,7808,
garrulax perspicillatus,7809,
uraeginthus angolensis,7810,
vanellus senegallus,7811,
prinia subflava,7812,
corvus albicollis,7813,
ammospermophilus leucurus,7814,
callipepla gambelii,7815,
campylorhynchus brunneicapillus,7816,
pipilo chlorurus,7817,
clogmia albipunctata,7818,
megarynchus pitangua,7819,
schistocerca lineata,7820,
barisia imbricata,7821,
rhipidura albiscapa,7822,
setophaga americana,7823,
setophaga palmarum,7824,
progne chalybea,7825,
tyrannus melancholicus,7826,
helocassis clavata,7827,
polioptila melanura,7828,
sayornis nigricans,7829,
trichius fasciatus,7830,
callopistria mollissima,7831,
ischnura ramburii,7832,
leucauge argyrobapta,7833,
manorina melanocephala,7834,
agrotis infusa,7835,
setophaga castanea,7836,
ceriagrion cerinorubellum,7837,
incilius valliceps,7838,
anthus rubescens,7839,
sarcoramphus papa,7840,
setophaga caerulescens,7841,
gavia arctica,7842,
orthosoma brunneum,7843,
dryobates villosus,7844,
poecile atricapillus,7845,
caripeta piniata,7846,
chaetodon auriga,7847,
hypena abalienalis,7848,
nerice bidentata,7849,
monochamus scutellatus,7850,
chalcoela iphitalis,7851,
zonotrichia querula,7852,
phoeniconaias minor,7853,
pluvialis squatarola,7854,
terpsiphone paradisi,7855,
vireo bellii,7856,
haliastur indus,7857,
spizella atrogularis,7858,
camptostoma imberbe,7859,
dione moneta,7860,
dryobates scalaris,7861,
basileuterus rufifrons,7862,
nisaetus cirrhatus,7863,
milvago chimachima,7864,
colaptes punctigula,7865,
merops ornatus,7866,
valanga irregularis,7867,
lepas anserifera,7868,
ranoidea caerulea,7869,
peucedramus taeniatus,7870,
dicrurus bracteatus,7871,
geopelia humeralis,7872,
platycercus adscitus,7873,
wallabia bicolor,7874,
macropus robustus,7875,
coracina novaehollandiae,7876,
pitangus sulphuratus,7877,
rostrhamus sociabilis,7878,
tyrannus savana,7879,
entomyzon cyanotis,7880,
philemon corniculatus,7881,
oriolus sagittatus,7882,
geopelia placida,7883,
scudderia septentrionalis,7884,
progne tapera,7885,
vireo cassinii,7886,
odontotaenius disjunctus,7887,
centruroides vittatus,7888,
pachycephala pectoralis,7889,
todiramphus macleayii,7890,
neochmia temporalis,7891,
parabuteo unicinctus,7892,
phrynosoma orbiculare,7893,
sceloporus siniferus,7894,
peucetia viridans,7895,
oriturus superciliosus,7896,
icterus nigrogularis,7897,
agalychnis dacnicolor,7898,
crotophaga sulcirostris,7899,
catharus ustulatus,7900,
microtia elva,7901,
ramphastos ambiguus,7902,
tersina viridis,7903,
anthracothorax nigricollis,7904,
certhiaxis cinnamomeus,7905,
jacana jacana,7906,
anser brachyrhynchus,7907,
danaus eresimus,7908,
manduca rustica,7909,
zenaida auriculata,7910,
columbina passerina,7911,
apantesis proxima,7912,
gasteracantha cancriformis,7913,
tirumala limniace,7914,
colonus sylvanus,7915,
pisaurina mira,7916,
corvus splendens,7917,
anastomus oscitans,7918,
acanthocephala femorata,7919,
papilio rutulus,7920,
melitaea phoebe,7921,
threskiornis aethiopicus,7922,
agapostemon splendens,7923,
catharus minimus,7924,
acanthis hornemanni,7925,
calidris ruficollis,7926,
calidris temminckii,7927,
haploa lecontei,7928,
phidippus audax,7929,
gallinula tenebrosa,7930,
threskiornis molucca,7931,
rhipidura fuliginosa,7932,
pluvialis dominica,7933,
sinistrofulgur sinistrum,7934,
seiurus aurocapilla,7935,
ardea cocoi,7936,
prionus laticollis,7937,
fistularia commersonii,7938,
sympetrum costiferum,7939,
argia bipunctulata,7940,
astraptes fulgerator,7941,
nymphalis californica,7942,
aglais milberti,7943,
prochoerodes lineola,7944,
diachrysia balluca,7945,
drepana arcuata,7946,
nemoria bistriaria,7947,
phaeoura quernaria,7948,
ortalis wagleri,7949,
gelochelidon nilotica,7950,
clytus ruricola,7951,
zanclus cornutus,7952,
haemorhous purpureus,7953,
cophosaurus texanus,7954,
coleomegilla maculata,7955,
xerociris wilsonii,7956,
terrapene carolina,7957,
trachemys venusta,7958,
anser fabalis,7959,
pantherophis obsoletus,7960,
thalassoma lunare,7961,
crocothemis servilia,7962,
sympetrum ambiguum,7963,
ancistrocerus antilope,7964,
urosaurus nigricaudus,7965,
epitheca petechialis,7966,
libellula quadrimaculata,7967,
gomphurus externus,7968,
cryptochiton stelleri,7969,
micrurus tener,7970,
sayornis saya,7971,
mareca strepera,7972,
dysdera crocata,7973,
thalassoma hardwicke,7974,
ischnura perparva,7975,
hydroprogne caspia,7976,
scolopendra polymorpha,7977,
cordulia shurtleffii,7978,
cordulegaster obliqua,7979,
nyctemera adversata,7980,
micronia aculeata,7981,
erebus ephesperis,7982,
asota heliconia,7983,
badumna longinqua,7984,
parnassius clodius,7985,
tringa solitaria,7986,
chlosyne ehrenbergii,7987,
patagioenas leucocephala,7988,
acris blanchardi,7989,
scoliopteryx libatrix,7990,
cicadella viridis,7991,
speyeria atlantis,7992,
protographium epidaus,7993,
papilio rogeri,7994,
battus polydamas,7995,
erynnis tristis,7996,
kricogonia lyside,7997,
triopha maculata,7998,
amblyscirtes celia,7999,
myscelia ethusa,8000,
texola elada,8001,
digrammia atrofasciata,8002,
araniella displicata,8003,
achyra rantalis,8004,
oriolus chinensis,8005,
dicrurus paradiseus,8006,
eremophila alpestris,8007,
heliocypha perforata,8008,
orthetrum triangulare,8009,
diplacodes trivialis,8010,
tadorna ferruginea,8011,
lycaena phlaeas,8012,
aquarius remigis,8013,
gonepteryx rhamni,8014,
icaricia saepiolus,8015,
catharus fuscescens,8016,
tarsiger cyanurus,8017,
otospermophilus variegatus,8018,
pieris marginalis,8019,
lycaena mariposa,8020,
erinnyis obscura,8021,
panoquina ocola,8022,
dryobates minor,8023,
pseudohermonassa bicarnea,8024,
feralia comstocki,8025,
papaipema pterisii,8026,
adalia decempunctata,8027,
anthanassa tulcis,8028,
leiothlypis celata,8029,
setophaga fusca,8030,
agrius convolvuli,8031,
boloria chariclea,8032,
biblis hyperia,8033,
caria ino,8034,
traminda aventiaria,8035,
asota caricae,8036,
creatonotos transiens,8037,
idaea aversata,8038,
zygaena filipendulae,8039,
lyssa zampa,8040,
syntomoides imaon,8041,
smerinthus ocellata,8042,
papilio anchisiades,8043,
phlogophora meticulosa,8044,
copaeodes minima,8045,
endotricha flammealis,8046,
xanthorhoe ferrugata,8047,
cabera pusaria,8048,
anthanassa texana,8049,
agrotis exclamationis,8050,
araneus diadematus,8051,
phyciodes graphica,8052,
pholcus phalangioides,8053,
polites vibex,8054,
chiomara georgina,8055,
